taxid	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
441960	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces marneffei
5855	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vivax
184922	Eukaryota	NA	NA	NA	NA	Hexamitidae	Giardia	Giardia intestinalis
185431	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Trypanosoma	Trypanosoma brucei
227086	Eukaryota	NA	NA	Chlorarachniophyceae	NA	NA	Bigelowiella	Bigelowiella natans
242507	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe	Magnaporthe oryzae
28985	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis
284591	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia lipolytica
5478	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	[Candida] glabrata
3055	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
330879	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus
344612	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus clavatus
347515	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania major
36329	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum
412133	Eukaryota	NA	NA	NA	Trichomonadida	Trichomonadidae	Trichomonas	Trichomonas vaginalis
420245	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania braziliensis
425011	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger
431895	Eukaryota	NA	NA	NA	Choanoflagellida	Salpingoecidae	Monosiga	Monosiga brevicollis
435258	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania infantum
4896	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces pombe
55529	Eukaryota	NA	NA	NA	Pyrenomonadales	Geminigeraceae	Guillardia	Guillardia theta
441959	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces stipitatus
5874	Eukaryota	NA	Apicomplexa	Aconoidasida	NA	Theileriidae	Theileria	Theileria annulata
336963	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus	Uncinocarpus reesii
306902	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora lusitaniae
559298	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii
653667	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces cryophilus
352472	Eukaryota	NA	NA	NA	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum
670386	Eukaryota	NA	NA	NA	Acytosteliales	Acytosteliaceae	Heterostelium	Heterostelium album
744533	Eukaryota	NA	NA	Heterolobosea	Schizopyrenida	Vahlkampfiidae	Naegleria	Naegleria gruberi
332952	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus
294747	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida tropicalis
5851	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi
423536	Eukaryota	NA	NA	NA	Perkinsida	Perkinsidae	Perkinsus	Perkinsus marinus
353151	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium hominis
284592	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii
441375	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium muris
508771	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii
464988	Eukaryota	NA	NA	NA	Cryptomonadales	Hemiselmidaceae	Hemiselmis	Hemiselmis andersenii
4956	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces rouxii
573826	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida dubliniensis
644223	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella phaffii
296587	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda
284811	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii
214684	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
280699	Eukaryota	NA	NA	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	Cyanidioschyzon merolae
284813	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi
436017	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'
412030	Eukaryota	NA	NA	Oligohymenophorea	Peniculida	Parameciidae	Paramecium	Paramecium tetraurelia
559295	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea thermotolerans
461836	Eukaryota	NA	NA	NA	NA	Apusomonadidae	Thecamonas	Thecamonas trahens
403677	Eukaryota	NA	NA	Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora infestans
655863	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Grosmannia	Grosmannia clavigera
578458	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
306901	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
3068	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
332648	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
486041	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria bicolor
644352	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces	Gaeumannomyces tritici
559292	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae
876142	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon intestinalis
321614	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum
665079	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia sclerotiorum
554065	Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorella	Chlorella variabilis
645133	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum graminicola
227321	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus nidulans
235443	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
246410	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Coccidioides	Coccidioides immitis
283643	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
296543	Eukaryota	NA	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira pseudonana
294746	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma guilliermondii
334819	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium verticillioides
339724	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Histoplasma	Histoplasma capsulatum
341663	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus terreus
331117	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fischeri
379508	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces	Lodderomyces elongisporus
67593	Eukaryota	NA	NA	Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora sojae
402676	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces japonicus
418459	Eukaryota	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia graminis
426428	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
426418	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora tritici-repentis
436907	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Vanderwaltozyma	Vanderwaltozyma polyspora
483514	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces octosporus
498257	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium dahliae
502779	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Paracoccidioides	Paracoccidioides lutzii
502780	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Paracoccidioides	Paracoccidioides brasiliensis
526221	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium alfalfae
556484	Eukaryota	NA	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum tricornutum
535722	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Nannizzia	Nannizzia gypsea
663331	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton benhamiae
554155	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum canis
564608	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
595528	Eukaryota	NA	NA	Ichthyosporea	NA	NA	Capsaspora	Capsaspora owczarzaki
222929	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	NA	Coccidioides	Coccidioides posadasii
660122	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	[Nectria] haematococca
559305	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton rubrum
663202	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton verrucosum
695850	Eukaryota	NA	NA	Oomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	Saprolegnia parasitica
656061	Eukaryota	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber melanosporum
12968	Eukaryota	NA	NA	NA	NA	NA	Blastocystis	Blastocystis hominis
353152	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium parvum
333668	Eukaryota	NA	Apicomplexa	Aconoidasida	NA	Theileriidae	Theileria	Theileria parva
484906	Eukaryota	NA	Apicomplexa	Aconoidasida	NA	Babesiidae	Babesia	Babesia bovis
412030	Eukaryota	NA	NA	Oligohymenophorea	Peniculida	Parameciidae	Paramecium	Paramecium tetraurelia
431241	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma reesei
413071	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma virens
452589	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma atroviride
425265	Eukaryota	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia globosa
645134	Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces punctatus
771870	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria macrospora
240176	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis cinerea
367110	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora crassa
237561	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida albicans
510516	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus oryzae
367775	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus gattii VGI
44056	Eukaryota	NA	NA	Pelagophyceae	Pelagomonadales	NA	Aureococcus	Aureococcus anophagefferens
871575	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Ogataea	Ogataea parapolymorpha
655827	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium acridum
655844	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium robertsii
946362	Eukaryota	NA	NA	NA	Choanoflagellida	Salpingoecidae	Salpingoeca	Salpingoeca rosetta
312017	Eukaryota	NA	NA	Oligohymenophorea	Hymenostomatida	Tetrahymenidae	Tetrahymena	Tetrahymena thermophila
5786	Eukaryota	NA	NA	NA	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium purpureum
948595	Eukaryota	Fungi	Microsporidia	NA	NA	Pleistophoridae	Vavraia	Vavraia culicis
2898	Eukaryota	NA	NA	NA	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas paramecium
684364	Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	NA	Batrachochytrium	Batrachochytrium dendrobatidis
261658	Eukaryota	NA	NA	NA	Acytosteliales	Cavenderiaceae	Cavenderia	Cavenderia fasciculata
747676	Eukaryota	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Melampsoraceae	Melampsora	Melampsora larici-populina
572307	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Neospora	Neospora caninum
294381	Eukaryota	NA	NA	NA	NA	Entamoebidae	Entamoeba	Entamoeba histolytica
353153	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Trypanosoma	Trypanosoma cruzi
370354	Eukaryota	NA	NA	NA	NA	Entamoebidae	Entamoeba	Entamoeba dispar
322104	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Scheffersomyces	Scheffersomyces stipitis
679716	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Trypanosoma	Trypanosoma brucei
510951	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora	Neurospora tetrasperma
70448	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus tauri
578457	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula lacrymans
336722	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria	Zymoseptoria tritici
5932	Eukaryota	NA	NA	Oligohymenophorea	Hymenostomatida	NA	Ichthyophthirius	Ichthyophthirius multifiliis
759272	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium thermophilum
590646	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma	Yamadazyma tenuis
619300	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Spathaspora	Spathaspora passalidarum
110365	Eukaryota	NA	Apicomplexa	Conoidasida	Eugregarinorida	Gregarinidae	Gregarina	Gregarina niphandrodes
756982	Eukaryota	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	Arthrobotrys oligospora
983644	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps militaris
573729	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thermothelomyces	Thermothelomyces thermophila
578455	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	Thielavia terrestris
500485	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium rubens
515849	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora anserina
1071378	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma dairenensis
5661	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania donovani
985895	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Leptosphaeria	Leptosphaeria maculans
858893	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala dermatitidis
993615	Eukaryota	Fungi	Microsporidia	NA	NA	Nosematidae	Vittaforma	Vittaforma corneae
929439	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania mexicana
931890	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium cymbalariae
1071381	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora phaffii
1064592	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Naumovozyma	Naumovozyma castellii
229533	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium graminearum
1093141	Eukaryota	NA	NA	Eustigmatophyceae	Eustigmatales	Monodopsidaceae	Nannochloropsis	Nannochloropsis gaditana
4950	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora delbrueckii
761204	Eukaryota	NA	NA	Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora parasitica
881290	Eukaryota	Fungi	Microsporidia	NA	NA	NA	Nematocida	Nematocida parisii
1076696	Eukaryota	NA	NA	NA	NA	Entamoebidae	Entamoeba	Entamoeba nuttalli
99158	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Hammondia	Hammondia hammondi
574566	Eukaryota	Viridiplantae	Chlorophyta	Trebouxiophyceae	NA	Coccomyxaceae	Coccomyxa	Coccomyxa subellipsoidea
671144	Eukaryota	Fungi	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia mellicola
721885	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	Stereum hirsutum
741275	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Punctulariaceae	Punctularia	Punctularia strigosozonata
717944	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes versicolor
694068	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	Fomitiporia mediterranea
741705	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Boletales	Coniophoraceae	Coniophora	Coniophora puteana
578456	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella mesenterica
732165	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Dichomitus	Dichomitus squalens
907965	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon hellem
1178016	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon romaleae
655819	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
1156394	Eukaryota	NA	NA	Oomycetes	Saprolegniales	Saprolegniaceae	Saprolegnia	Saprolegnia diclina
1168221	Eukaryota	Fungi	Ascomycota	Dothideomycetes	NA	NA	Coniosporium	Coniosporium apollinis
1186058	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon asahii
1072389	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Marssonina	Marssonina brunnea
597362	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
936046	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus
650164	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete carnosa
1028729	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium pseudograminearum
1071382	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania africana
1257118	Eukaryota	NA	NA	NA	Longamoebia	Acanthamoebidae	Acanthamoeba	Acanthamoeba castellanii
1041607	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces ciferrii
599839	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Polyporales	NA	Fibroporia	Fibroporia radiculosa
905079	Eukaryota	NA	NA	NA	Pyrenomonadales	Geminigeraceae	Guillardia	Guillardia theta
1170230	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium digitatum
1136231	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida orthopsilosis
1071380	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Tetrapisispora	Tetrapisispora blattae
692275	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Sphaerulina	Sphaerulina musiva
