pathway	mean_EC
1CMET2-PWY	0.7930678092
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.5626275565
AEROBACTINSYN-PWY	0.3717723496
ALL-CHORISMATE-PWY	0.7198906161
ANAEROFRUCAT-PWY	0.814241445
ANAGLYCOLYSIS-PWY	0.8258581347
ARG+POLYAMINE-SYN	0.7201127105
ARGDEG-PWY	0.5884375039
ARGORNPROST-PWY	0.6939075248
ARGSYN-PWY	0.7856357749
ARGSYNBSUB-PWY	0.7979170284
ARO-PWY	0.8185318652
ASPASN-PWY	0.7399570657
AST-PWY	0.5712795473
BENZCOA-PWY	0.1815947669
BIOTIN-BIOSYNTHESIS-PWY	0.7747766279
BRANCHED-CHAIN-AA-SYN-PWY	0.8451419
CALVIN-PWY	0.8388667735
CATECHOL-ORTHO-CLEAVAGE-PWY	0.5051698314
CENTBENZCOA-PWY	0.1541248857
CENTFERM-PWY	0.5802980583
CHLOROPHYLL-SYN	0.407187157
COA-PWY	0.7909189204
COBALSYN-PWY	0.6891693297
CODH-PWY	0.4035213463
COLANSYN-PWY	0.753751645
COMPLETE-ARO-PWY	0.8265302258
CRNFORCAT-PWY	0.4846863359
DAPLYSINESYN-PWY	0.8075232548
DENITRIFICATION-PWY	0.4218409011
DENOVOPURINE2-PWY	0.8037705772
DHGLUCONATE-PYR-CAT-PWY	0.3981806306
DTDPRHAMSYN-PWY	0.7807340467
ECASYN-PWY	0.5559382721
ENTBACSYN-PWY	0.6924798348
FAO-PWY	0.8345958977
FASYN-ELONG-PWY	0.8476573272
FASYN-INITIAL-PWY	0.8020652787
FERMENTATION-PWY	0.7958928375
FOLSYN-PWY	0.8054306509
FUC-RHAMCAT-PWY	0.5385816679
FUCCAT-PWY	0.5387962527
GALACT-GLUCUROCAT-PWY	0.6343530281
GALACTARDEG-PWY	0.5488454081
GALACTUROCAT-PWY	0.6758319294
GALLATE-DEGRADATION-I-PWY	0.3860945312
GALLATE-DEGRADATION-II-PWY	0.3860945312
GLCMANNANAUT-PWY	0.6314953458
GLUCARDEG-PWY	0.5579700331
GLUCARGALACTSUPER-PWY	0.5488454081
GLUCONEO-PWY	0.8172120442
GLUCOSE1PMETAB-PWY	0.6781760041
GLUCUROCAT-PWY	0.674427288
GLUTORN-PWY	0.7730228084
GLYCOCAT-PWY	0.7610198705
GLYCOGENSYNTH-PWY	0.7559584277
GLYCOL-GLYOXDEG-PWY	0.5227175887
GLYCOLYSIS	0.827810979
GLYCOLYSIS-E-D	0.8044028056
GLYCOLYSIS-TCA-GLYOX-BYPASS	0.7991156298
GLYOXYLATE-BYPASS	0.7465606764
GOLPDLCAT-PWY	0.4413812712
HCAMHPDEG-PWY	0.4706587094
HEME-BIOSYNTHESIS-II	0.7104533832
HEMESYN2-PWY	0.7953124472
HEXITOLDEGSUPER-PWY	0.7383803176
HISDEG-PWY	0.6885215356
HISTSYN-PWY	0.7702867094
HOMOSER-METSYN-PWY	0.7264529036
HSERMETANA-PWY	0.7553073747
ILEUDEG-PWY	0.199470619
ILEUSYN-PWY	0.865355221
KDO-NAGLIPASYN-PWY	0.6726960829
KETOGLUCONMET-PWY	0.5537967801
LACTOSECAT-PWY	0.5185733725
LEU-DEG2-PWY	0.6572430435
LIPASYN-PWY	0.3701153287
LPSSYN-PWY	0.5784288662
MET-SAM-PWY	0.7829739804
METH-ACETATE-PWY	0.4790420593
METHANOGENESIS-PWY	0.3181343629
METHGLYUT-PWY	0.5392702912
METHYLGALLATE-DEGRADATION-PWY	0.434214292
NAD-BIOSYNTHESIS-II	0.6324416511
NADSYN-PWY	0.5158707597
NAGLIPASYN-PWY	0.7013626798
NONMEVIPP-PWY	0.7659742311
NONOXIPENT-PWY	0.8656698252
NPGLUCAT-PWY	0.1791533949
OANTIGEN-PWY	0.7863839294
ORNARGDEG-PWY	0.5884375039
ORNDEG-PWY	0.5756690453
P101-PWY	0.5778612657
P105-PWY	0.8150984248
P108-PWY	0.7271440946
P122-PWY	0.7011608525
P124-PWY	0.7186471903
P125-PWY	0.5623013026
P161-PWY	0.8155901888
P162-PWY	0.4410008981
P163-PWY	0.4132767135
P164-PWY	0.7328320829
P184-PWY	0.3800393446
P221-PWY	0.6248095814
P23-PWY	0.8102055315
P241-PWY	0.2515615105
P261-PWY	0.320765546
P281-PWY	0.4894505853
P341-PWY	0.3950904104
P381-PWY	0.6091844485
P4-PWY	0.7896192822
P42-PWY	0.8030475007
P441-PWY	0.7494492405
P461-PWY	0.6914103827
P562-PWY	0.5738074346
P621-PWY	0.2949272722
PANTO-PWY	0.7848187839
PANTOSYN-PWY	0.7825960418
PENTOSE-P-PWY	0.8165601993
PEPTIDOGLYCANSYN-PWY	0.8005837181
PHOSLIPSYN-PWY	0.8336642256
POLYAMINSYN3-PWY	0.6380702806
POLYAMSYN-PWY	0.6657823429
POLYISOPRENSYN-PWY	0.7805562088
PPGPPMET-PWY	0.7273540881
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	0.6565769811
PRPP-PWY	0.7984128827
PWY-1269	0.7099699015
PWY-1361	0.3642928023
PWY-1422	0.2529228399
PWY-1501	0.3040384727
PWY-1541	0.4110379873
PWY-1622	0.5372407885
PWY-181	0.7148578152
PWY-1861	0.7261711759
PWY-1882	0.3684672598
PWY-2201	0.291771419
PWY-2221	0.4659866243
PWY-2941	0.6791719171
PWY-2942	0.8390351034
PWY-3001	0.8295729504
PWY-3081	0.1481687589
PWY-3661	0.5741198907
PWY-3781	0.9258920899
PWY-3801	0.6865795567
PWY-3941	0.2219172523
PWY-4361	0.4048679931
PWY-4722	0.3179294295
PWY-4984	0.6914537206
PWY-5005	0.4940366862
PWY-5022	0.6883363579
PWY-5028	0.5495109839
PWY-5080	0.0505071051
PWY-5088	0.4692041316
PWY-5097	0.8232355226
PWY-5100	0.7502569465
PWY-5101	0.8723498109
PWY-5103	0.8325318737
PWY-5104	0.8100662206
PWY-5121	0.7708709582
PWY-5154	0.7695100875
PWY-5177	0.3851261403
PWY-5178	0.4936803087
PWY-5179	0.2467569203
PWY-5180	0.6127850475
PWY-5181	0.5580928792
PWY-5182	0.6127850475
PWY-5183	0.4983307806
PWY-5184	0.1795648051
PWY-5188	0.7798075383
PWY-5189	0.7715206838
PWY-5198	0.3625230708
PWY-5265	0.6764696814
PWY-5266	0.5933017063
PWY-5273	0.5933017063
PWY-5304	0.5136742605
PWY-5345	0.781468029
PWY-5347	0.7804552313
PWY-5384	0.6733760591
PWY-5392	0.3004974376
PWY-5415	0.5974050766
PWY-5417	0.507069649
PWY-5419	0.48297285
PWY-5420	0.5292828707
PWY-5427	0.1063765027
PWY-5430	0.4935685196
PWY-5431	0.507069649
PWY-5484	0.8220734146
PWY-5499	0.1265625171
PWY-5505	0.7215331267
PWY-5507	0.592959793
PWY-5509	0.6711425513
PWY-5519	0.1682486567
PWY-5529	0.4542962309
PWY-5531	0.4527257313
PWY-5532	0.3492853768
PWY-5634	0.0910016601
PWY-5647	0.3804728823
PWY-5651	0.4418541057
PWY-5654	0.3909219204
PWY-5655	0.4465271674
PWY-5656	0.2314289506
PWY-5659	0.8041780928
PWY-5667	0.8460519541
PWY-5675	0.0681496627
PWY-5676	0.6828510225
PWY-5677	0.4196541079
PWY-5679	0.0921636668
PWY-5686	0.8233395826
PWY-5695	0.8354352283
PWY-5705	0.5540943539
PWY-5724	0.0952078612
PWY-5737	0.1445355987
PWY-5741	0.4165815225
PWY-5743	0.2499675472
PWY-5744	0.2309481336
PWY-5747	0.5986522566
PWY-5757	0.1196363462
PWY-5789	0.2427169975
PWY-5823	0.3432157137
PWY-5837	0.633462097
PWY-5838	0.6979756656
PWY-5840	0.6961059229
PWY-5845	0.6826657222
PWY-5850	0.6826657222
PWY-5855	0.7318235506
PWY-5856	0.7318235506
PWY-5857	0.7318235506
PWY-5860	0.6437939391
PWY-5861	0.6644096973
PWY-5862	0.6437939391
PWY-5863	0.6451830434
PWY-5896	0.6826657222
PWY-5897	0.6949794138
PWY-5898	0.6949794138
PWY-5899	0.6949794138
PWY-5910	0.5996967447
PWY-5913	0.7647682544
PWY-5918	0.7483372033
PWY-5920	0.6974167322
PWY-5940	0.181298707
PWY-5941	0.5669922861
PWY-5971	0.8351060408
PWY-5973	0.867434203
PWY-5989	0.8198413359
PWY-6071	0.5675077734
PWY-6107	0.340876021
PWY-6113	0.6552700485
PWY-6121	0.8212577652
PWY-6122	0.8156410797
PWY-6123	0.7895613722
PWY-6125	0.8155394682
PWY-6126	0.8279459039
PWY-6141	0.1972624608
PWY-6142	0.4931208063
PWY-6143	0.255194339
PWY-6145	0.1859736232
PWY-6146	0.4226400686
PWY-6147	0.7914364041
PWY-6148	0.3610868665
PWY-6151	0.7684488509
PWY-6163	0.8125509111
PWY-6165	0.4555534584
PWY-6167	0.468009339
PWY-6174	0.4039459306
PWY-6182	0.5099046384
PWY-6185	0.5030501293
PWY-621	0.7315761313
PWY-6210	0.3317419269
PWY-622	0.4830977794
PWY-6263	0.5875701378
PWY-6269	0.6724470848
PWY-6277	0.8156410797
PWY-6281	0.1344726363
PWY-6282	0.8161884697
PWY-6284	0.4157783119
PWY-6285	0.5622703505
PWY-6317	0.757012109
PWY-6338	0.3518877654
PWY-6339	0.515476426
PWY-6349	0.2914446279
PWY-6350	0.2844154463
PWY-6353	0.8055003659
PWY-6383	0.5468184252
PWY-6385	0.7988720006
PWY-6386	0.8000173744
PWY-6387	0.8026671501
PWY-6395	0.1044647587
PWY-6396	0.5810211231
PWY-6397	0.3262405484
PWY-6404	0.5605898197
PWY-6467	0.6966692605
PWY-6470	0.6395419432
PWY-6471	0.7136493981
PWY-6478	0.4686427077
PWY-6486	0.2083103373
PWY-6505	0.4303825985
PWY-6507	0.6476563377
PWY-6519	0.7843015801
PWY-6545	0.7195496582
PWY-6562	0.5346067858
PWY-6565	0.4227266772
PWY-6572	0.2931954164
PWY-6581	0.1983312044
PWY-6588	0.6622779323
PWY-6590	0.6144830145
PWY-6598	0.0505071051
PWY-6608	0.8100096512
PWY-6609	0.7740126965
PWY-6612	0.7962819318
PWY-6628	0.7997982996
PWY-6629	0.7427766226
PWY-6630	0.795251094
PWY-6641	0.3945538886
PWY-6654	0.3728319584
PWY-6660	0.2081151539
PWY-6662	0.1854098099
PWY-6690	0.4706587094
PWY-6700	0.7420468576
PWY-6703	0.7475854255
PWY-6708	0.7318235506
PWY-6713	0.3176979937
PWY-6728	0.5732320489
PWY-6731	0.3465531341
PWY-6737	0.7559540314
PWY-6749	0.4766908269
PWY-6760	0.1048471491
PWY-6797	0.2346981801
PWY-6830	0.2431840781
PWY-6876	0.539649455
PWY-6891	0.6418577628
PWY-6892	0.7047253951
PWY-6895	0.7357454492
PWY-6897	0.7649226372
PWY-6901	0.7925118135
PWY-6906	0.4190215023
PWY-6915	0.1069857963
PWY-6919	0.1641443026
PWY-6942	0.1835517422
PWY-6944	0.3728438522
PWY-6946	0.1613340359
PWY-6948	0.3001736124
PWY-6956	0.1759619725
PWY-6957	0.4326385633
PWY-6969	0.8256095866
PWY-6975	0.0843028671
PWY-6977	0.1162912423
PWY-6992	0.3770336178
PWY-6993	0.1167287606
PWY-7002	0.1548964476
PWY-7003	0.7143052846
PWY-7007	0.5448395015
PWY-7013	0.6876816882
PWY-7014	0.1151638376
PWY-7015	0.0904395609
PWY-7016	0.0733636044
PWY-7019	0.0717746367
PWY-7020	0.0800486017
PWY-7021	0.083129752
PWY-7022	0.1109369604
PWY-7024	0.2739881944
PWY-7031	0.2022270917
PWY-7046	0.2418839129
PWY-7084	0.2686773556
PWY-7090	0.3458995018
PWY-7094	0.8370809751
PWY-7097	0.3518877654
PWY-7098	0.3705005252
PWY-7106	0.0846007143
PWY-7110	0.113516753
PWY-7111	0.8933997428
PWY-7159	0.4527257313
PWY-7184	0.8037102092
PWY-7185	0.301115686
PWY-7187	0.7598443515
PWY-7196	0.781745601
PWY-7197	0.7784832978
PWY-7198	0.5059677694
PWY-7199	0.7362137618
PWY-7200	0.7567505409
PWY-7208	0.832341169
PWY-7209	0.1756341972
PWY-7210	0.572526425
PWY-7211	0.804576278
PWY-7219	0.8342828786
PWY-722	0.3348516184
PWY-7220	0.8203228853
PWY-7221	0.8185902295
PWY-7222	0.8203228853
PWY-7228	0.8230545253
PWY-7229	0.8378365797
PWY-7234	0.7808964066
PWY-7237	0.6449118242
PWY-7242	0.7403770106
PWY-7254	0.7798551382
PWY-7255	0.4680871209
PWY-7274	0.1097129586
PWY-7286	0.2683396203
PWY-7287	0.1097607168
PWY-7295	0.3591636905
PWY-7315	0.6305932076
PWY-7316	0.2171390942
PWY-7323	0.7554721349
PWY-7328	0.7021089295
PWY-7332	0.6447187617
PWY-7347	0.3711619669
PWY-7352	0.0972004883
PWY-7354	0.1192431474
PWY-7371	0.4107039907
PWY-7373	0.3716750734
PWY-7374	0.3786474907
PWY-7376	0.5957789358
PWY-7377	0.5787950442
PWY-7385	0.1233969949
PWY-7391	0.4902033424
PWY-7392	0.7578578955
PWY-7398	0.1992131012
PWY-7400	0.7846354336
PWY-7401	0.2030421795
PWY-7402	0.1512638571
PWY-7413	0.1321263382
PWY-7415	0.0911421526
PWY-7431	0.6328720645
PWY-7446	0.4163145989
PWY-7456	0.543893448
PWY-7483	0.070830446
PWY-7524	0.1655955448
PWY-7527	0.4764672794
PWY-7528	0.2976657434
PWY-7539	0.7959122077
PWY-7560	0.7659742311
PWY-7616	0.5206536664
PWY-7644	0.1860388448
PWY-7663	0.8699014123
PWY-7664	0.822570342
PWY-841	0.8182535006
PWY-922	0.5429131522
PWY0-1061	0.8110275585
PWY0-1241	0.6213534819
PWY0-1261	0.8343450235
PWY0-1277	0.565924155
PWY0-1296	0.7347969165
PWY0-1297	0.747702402
PWY0-1298	0.72097991
PWY0-1319	0.8460519541
PWY0-1338	0.4916887991
PWY0-1415	0.6869767179
PWY0-1479	0.7278543854
PWY0-1533	0.6051755296
PWY0-1586	0.8045497125
PWY0-162	0.8192641238
PWY0-166	0.7872724807
PWY0-321	0.5862715806
PWY0-41	0.5160244812
PWY0-42	0.5907511679
PWY0-781	0.7854484721
PWY0-845	0.7159704012
PWY0-862	0.8109332098
PWY1G-0	0.4229339686
PWY490-3	0.4880304551
PWY4FS-7	0.8267291982
PWY4FS-8	0.8267291982
PWY5F9-12	0.1638468752
PWYG-321	0.829856741
PYRIDNUCSAL-PWY	0.7230031925
PYRIDNUCSYN-PWY	0.7440959484
PYRIDOXSYN-PWY	0.6960777331
REDCITCYC	0.8185738679
RHAMCAT-PWY	0.5765644708
RIBOSYN2-PWY	0.790250259
RUMP-PWY	0.6556349727
SALVADEHYPOX-PWY	0.8119162979
SER-GLYSYN-PWY	0.8365902379
SO4ASSIM-PWY	0.7695688877
SUCSYN-PWY	0.591412291
SULFATE-CYS-PWY	0.8013850869
TCA	0.8300267936
TCA-GLYOX-BYPASS	0.7761839722
TEICHOICACID-PWY	0.5592994655
THISYN-PWY	0.7511067368
THREOCAT-PWY	0.5904212339
THRESYN-PWY	0.8175087281
TRNA-CHARGING-PWY	0.8010784836
TRPSYN-PWY	0.7973560706
TYRFUMCAT-PWY	0.6139232528
UBISYN-PWY	0.7241624598
UDPNAGSYN-PWY	0.7973250474
VALDEG-PWY	0.3151264374
VALSYN-PWY	0.865355221
